Speech_Content_ID,Type,Name,Text,Speech_Time
10,Speech,SPEAKER, I declare the House in committee for consideration of the Natural and Built Environment Bill and the Spatial Planning Bill.,2023-07-27 14:55:15
11,Speech,DAVID PARKER, Point of order. I seek leave to correct an answer.,2023-07-27 18:01:43
12,Interjection,DEPUTY SPEAKER, Leave is sought. There is no objection.,2023-07-27 18:01:43
13,ContinueSpeech,DAVID PARKER," Out of an abundance of caution, I've been advised to correct an answer that I gave in question No. 5 about local road speeds falling within the designation of Minister O'Connor. Because the final document hasn't been officially signed, I'm advised that that should have been ""will"" fall within the designation.",2023-07-27 18:01:43
14,Speech,DEPUTY SPEAKER," The House stands adjourned until 2 p.m. on Tuesday, 1 August 2023. Thank you for your sterling work this week, ladies and gentlemen.",2023-07-27 18:02:24
0,Speech,SPEAKER," I'm sure that members would wish to welcome the Honourable Anthony Albanese, Prime Minister of Australia, to my left, and his accompanying delegation, who are present in the gallery.",2023-07-26 14:01:41
0,Speech,PEENI HENARE," I seek leave to make a personal explanation to clarify part of an answer to oral question No. 7, on 25 July 2023.",2023-07-26 12:57:01
1,Intervention,ASSISTANT SPEAKER, Leave is sought for that purpose. Is there any objection? There is none. ,2023-07-26 12:57:01
2,ContinueSpeech,PEENI HENARE," Yesterday, in my responses to supplementary questions to oral question No. 7, on behalf of the Minister for Social Development and Employment, I stated that the Government has changed the criteria for access to the special needs grant for dental treatment so that, among other things, people are supported to access what would be considered normal dental appointments for fillings or check-ups, and to get the kinds of appointments to make sure that they have regular oral health checks. I want to clarify that dental grants, which have historically only been available for emergency care, now also cover all immediate and essential dental care. This means New Zealanders can get support through the grant for most treatments, including things like fillings and infections, and it includes consultations and dental professionals, but only where they lead to immediate and essential care.",2023-07-26 12:57:01
3,Speech,ASSISTANT SPEAKER," Members, the House stands adjourned until 2 p.m.",2023-07-26 12:58:09
0,Speech,SPEAKER," I'm sure that members would wish to welcome Senator Pia Cayetano from the Senate of the Philippines, and her accompanying delegation who are present in the gallery. ",2023-07-25 14:00:56
1,Speech,SPEAKER," I have received a letter from David Seymour seeking to debate, under Standing Order 399, the resignation of the Hon Kiritapu Allan as a Minister. This is a particular case of recent occurrence for which there is ministerial responsibility. Not every ministerial resignation warrants an urgent debate, however debates have generally been allowed where the actions of a Minister have raised questions of probity. Therefore, I call on David Seymour to move that the House take note of a matter of urgent public importance.",2023-07-25 14:59:09
2,Speech,DAVID SEYMOUR," Thank you, Mr Speaker. I move, That the House take note of a matter of urgent public importance.",2023-07-25 14:59:50
3,a,DAVID SEYMOUR,"This resignation signifies a very human tragedy wrapped up in a Government in disarray. The events surrounding Kiri Allan's resignation are sad. She is a person who I think most members would agree was someone of great talent and promise, and yet something that few of us understand has gone wrong and led to these tragic events. It is critical that the public understands what has happened because for the probity of Ministers, and ultimately the respect of the public on this House, it's just not acceptable to have a Minister of the Crown who is breaking multiple laws on one night—who is driving while over the limit, or at least the infringement offence limit for alcohol consumption, and who has resisted arrest while serving as the Minister of Justice. Those are things that, despite the clear human tragedy at the centre of this resignation, the people deserve an explanation for in order to uphold the probity of ministerial warrants and this House. It is also absolutely critical that people understand the circumstances in which this person was put into this tragic position.",2023-07-25 14:59:50
4,a,DAVID SEYMOUR,"Because, while it is a human tragedy, it is also the case that it comes after a cascade of missteps and administrative bungles by this Government that are accumulating—along with the costs and the frustration faced by New Zealanders who put their trust in this Government. We now have a Government that has no more gas left in the tank. It can't even field a full Cabinet. The fact that Kiri Allan will not be replaced in Cabinet raises questions over whether or not this Labour Party has the talent to field a full team, and whether or not she felt pressure to remain on the field because they simply did not have any subs on the bench capable of doing the job. It has led to one person holding the Justice portfolio and the Police portfolio. That is a real problem for New Zealand or any democratic nation, because the Minister of Justice is accountable for upholding those parts of the apparatus of States that uphold, in turn, the rule of law. The Minister of Police is responsible for advocating for the police who have to be restrained by that same rule of law. When a person is put in both positions, that creates a conflict of interest. And, unfortunately, conflicts of interest have led to much of the difficulty that this Government has.",2023-07-25 14:59:50
5,a,DAVID SEYMOUR,"It might have been possible to find someone to replace Kiri Allan as the Justice Minister from within the Cabinet. An obvious choice would be somebody in the form of the Attorney-General, who is a lawyer. Perhaps that person could have helped. However, unfortunately, it was found that he was already busy with other jobs. Or perhaps he just doesn't want any job, but doesn't even want to be the Minister of Revenue. Perhaps if it wasn't for the Natural and Built Environment Bill, he would be off completely.",2023-07-25 14:59:50
6,a,DAVID SEYMOUR,"You see, since the Prime Minister said she had ""no gas in the tank"" back in January, there have been a total of five ministerial departures or resignations in just seven months. First, there was our Prime Minister—which we can come back to—then there was Stuart Nash, who was found to be leaking information to donors in breach of Cabinet confidentiality. And then there was Meka Whaitiri, who was planning to jump ship to another political party and the Prime Minister knew nothing about it. And then there was Michael Wood, the guy who had a conflict of interest with his ministerial portfolios that he failed to declare—and when asked not once, not twice, but over a dozen times to resolve that conflict of interest, he didn't do it. So Michael Wood is gone. And now, sadly, we see the departure of Kiritapu Allan.",2023-07-25 14:59:50
7,a,DAVID SEYMOUR,"This is a Government that simply cannot hold it together. And people are right to ask: how can a Government so incapable of managing itself be asked to manage the many problems that New Zealanders face, with the inflation that ravages the cost of living, the lawlessness that ravages our streets. It was astonishing, just a moment ago we had what's called a ""patsy question"": a backbench Labour MP asking the Minister of Justice—or was it Police? I think it was Justice. It's hard to know. Asking about what is being done about gangs. What the Minister may not have known is that just an hour earlier, Sylvia Park was stormed by armed police, followed by ambulance officers, because two gang—",2023-07-25 14:59:50
8,Intervention,Grant Robertson," Point of order, Mr Speaker. Speakers' rulings and Standing Orders are clear around debates of matters of urgent public importance. They are specific to the matters that are in the letter for the debate. While I know there needs to be a time for context, I believe that my listening in the seven or so minutes that the member has been speaking—the vast bulk of his contribution—has not been about the resignation of the Minister.",2023-07-25 14:59:50
9,Intervention,SPEAKER," Yes, I'd have to agree with that summation of the contribution so far. I will ask the member to speak to the topic of the urgent debate. That's why I granted it. We've had quite a bit of stuff in there that is not related, and the current topic certainly isn't a narration—unless he can bring it very quickly to the topic at hand, then he should do so.",2023-07-25 14:59:50
10,ContinueSpeech,DAVID SEYMOUR," Thank you, Mr Speaker. I note that my letter did include the conflict created by one person holding both positions, and my letter also pointed to the—",2023-07-25 14:59:50
11,Interjection,SPEAKER," Yeah, I just warn the member: he's having a habit of really commenting on the ruling I've just made. I'm well aware of what the application was. You don't need to—in a way which I think is disrespectful to this House—comment on that, and I'd ask him to stop doing it.",2023-07-25 14:59:50
12,ContinueSpeech,DAVID SEYMOUR," Thank you, Mr Speaker. The resignation of Kiritapu Allan has occurred in a context. It's occurred in a context of the management of people. It has occurred in a context where a person facing serious challenges was asked to work at full tilt. Having been under question for the challenges that she was personally facing, she was returned to work where she carried out a heavy schedule of announcements in the run up to an election, which amounted to reversing the positions that she, as a Minister in her Government, had been required to uphold for years as a Government and for years, in her case, as a Minister. That could only reflect back on the nature of the Government, the culture that had been imbued in it, and the leadership that it had. We cannot escape the fact that this tragic sequence of events is inextricably linked to the context of that workplace.",2023-07-25 14:59:50
13,a,DAVID SEYMOUR,"We cannot avoid the fact that we have had a Government that for a long time has sought to make policy based on the hope that if only they announce that many houses would be built, it would happen. When you have a Government that constantly tries to ensure that things will happen simply by wishing it so, the frustration that amounts, the problems that arise in the public domain, the pressure that comes back on to Ministers as a result. Well, unfortunately, all of those things which fully reflect upon the Government have been contributing factors to this particular tragic sequence of events. The Government has lost a Minister in highly questionable circumstances that bring into question ministerial probity—not just because of that individual's choices, which are clearly wrong and for which she has apologised, lost her job, and moved on. But they have occurred in the context of a Government that is failing at multiple levels and cannot be a good place for a Minister to be, where there is not a replacement to come on. All of these things, Mr Speaker.",2023-07-25 14:59:50
14,a,DAVID SEYMOUR,"I can understand why the Minister of Finance doesn't want to hear them, but, nevertheless, they remain true. They are the true context in which these events occurred. It is simply the case that what we find ourselves with now as New Zealanders is a Government that can at best be described as a ""caretaker Government"": one that cannot field a full team, one that cannot manage itself—let alone the challenges of inflation, of lawlessness, and of division that have grown up like mushrooms under this Government. Failing and lacking the ability to manage itself or any of the problems that New Zealanders face, this Government will now amble towards October 14, and at that time people facing these problems—this inflation, this lawlessness, and this division—will have to ask themselves: are they not better with a new team? Is it not possible that New Zealanders can hope to see a Government focused not on itself and its multiple losses of personnel, but instead focused on their problems? Solving them with practical solutions that aren't satisfied simply with sounding good, but actually work. That is the challenge that is now before New Zealanders. That is what this unfortunate sequence of events has brought about, and that is the arena into which ACT enters to provide a better solution, a better way forward, and one that is not going to be so tragically negligent of people that come to serve in the Government.",2023-07-25 14:59:50
15,a,DAVID SEYMOUR,"I finish by giving my best wishes and regards to Kiritapu Allan at a personal level. She is a person that I have known and interacted with over the years and found to be a good person, a person of great intelligence and capability. She has chosen a course, and I respect—obviously—and would like to support from afar that choice that she makes. We wish her all of the best and we hope that all people who come here to do the job can find themselves in a circumstance where they can make a difference as part of a strong team that is responsive to the problems and challenges New Zealand face and put in place coherent solutions that actually solve those problems. Thank you very much, Mr Speaker.",2023-07-25 14:59:50
0,Speech,CARMEL SEPULONI, I wish to make a ministerial statement relating to the serious incident that unfolded in Auckland this morning. ,2023-07-20 14:01:08
1,a,CARMEL SEPULONI,"This morning, at 7.23 a.m., the morning commute in Tāmaki-makau-rau Auckland came to a halt. A serious incident unfolded after reports of a person discharging a firearm inside a site on lower Queen Street. Two people have died and also the male offender is deceased. Police have confirmed an officer has been injured as well as five members of the public at this stage. The police officer was transported to hospital in a critical condition, but his condition has stabilised. The four members of the public have injuries ranging from moderate to critical. ",2023-07-20 14:01:08
2,a,CARMEL SEPULONI,"I can advise the House that this is not a national security risk, and police are now commencing an investigation into what has occurred. Within three minutes of the incident being reported, the New Zealand Police Eagle was en route. At 7.34 a.m., police had arrived on the scene and the armed offenders squad was there by 7.38 a.m. I really want to thank the first responders—New Zealand police, the armed offenders squad, and St John Ambulance—for acting and responding as swiftly as they did this morning.",2023-07-20 14:01:08
3,a,CARMEL SEPULONI,"Aucklanders were on their way to work. Aucklanders were at work. In a country like our own, this is the last thing you would expect to encounter on your morning commute or whilst doing your job. But the rapid response from our first responders meant they could move at pace to protect as many people as possible.",2023-07-20 14:01:08
4,a,CARMEL SEPULONI,"I want to reiterate that this appears to be the actions of one individual and there is no wider national security threat, nor are police seeking anybody else in relation to the incident. It's also important that we acknowledge the number of people we have visiting New Zealand and staying in Auckland currently for the FIFA Women's World Cup. This event has not been impacted and will proceed as planned.",2023-07-20 14:01:08
5,a,CARMEL SEPULONI,"To Auckland, particularly those who were physically injured, witnessed the event, or were within close proximity to this situation unfolding, I acknowledge the impact that this would have had on you. ",2023-07-20 14:01:08
6,a,CARMEL SEPULONI,"To the loved ones and whānau of the victims, I know that words cannot heal trauma, but I want you to know that there is much strength to be drawn from solidarity and community, something that we as Aucklanders and New Zealanders offer up in spades. You are not alone in this grieving process and nor should you be. Kia kaha, kia māia, kia manawanui.",2023-07-20 14:01:08
0,Speech,SPEAKER," Members, I have a number of corrections to votes—[Interruption] Order! I am on my feet. When the House was in committee on the Therapeutic Products Bill, the result of the vote on the question that Dr Shane Reti's amendments to Schedule 1 as set out on Supplementary Order Paper 369 be agreed to was incorrectly recorded as Ayes 42, Noes 71. The correct result is Ayes 41, Noes 71.",2023-07-19 14:48:28
1,a,SPEAKER,"Also in the vote on the question that Schedule 4 as amended stand part, the vote was incorrectly recorded as Ayes 72, Noes 41. The correct result is Ayes 74, Noes 41.",2023-07-19 14:48:28
2,a,SPEAKER,"When the House was in committee on the Fuel Industry Amendment Bill, the result of the vote on the question that Parts 1 and 2, the Schedule, and clauses 1 to 3 stand part was incorrectly recorded as Ayes 65, Noes 44. The correct result is Ayes 75, Noes 44. The record will be corrected.",2023-07-19 14:48:28
3,Speech,Dr AYESHA VERRALL," Point of order. Thank you, Madam Speaker. I seek leave to make a personal statement to correct an answer to an oral question.",2023-07-19 17:45:36
4,Speech,ASSISTANT SPEAKER, Leave is sought for that purpose. Are there any objections? There are none.,2023-07-19 17:45:43
5,ContinueSpeech,Dr AYESHA VERRALL," In response to question No. 8 today, I said that the role of my office was to request that Te Whatu Ora publish the correct data. I have since been advised by my office that Te Whatu Ora reported a provisional date for the data to be released on 5 July, and a staff member said that it should not be released that week due to other announcements. Upon learning this information, I have told my staff that they should not have given that direction, and it is my expectation that it does not happen again. The final date that the data was released was determined by Te Whatu Ora based on when the information was ready.",2023-07-19 17:45:43
6,Speech,ASSISTANT SPEAKER," Members, when the House was considering the Sale and Supply of Alcohol (Rugby World Cup 2023 Extended Trading Hours) Amendment Bill, the result of the vote on the question that the bill be now read a third time was incorrectly recorded as Ayes 116; Noes 13. The correct result is Ayes 106; Noes 13. The record will be corrected accordingly.",2023-07-19 19:15:00
7,Speech,SIMON COURT," Thank you, Madam Speaker. I seek leave from the House to correct the record of the vote on the previous bill, where ACT has the proxy vote for Dr Elizabeth Kerekere and it was not cast.",2023-07-19 19:22:46
8,Speech,ASSISTANT SPEAKER, Leave is sought for that purpose. Is there any objection? There is none.,2023-07-19 19:23:00
9,Speech,SIMON COURT," Thank you, Madam Speaker. I'd just like to have the record corrected for the vote on the previous bill, the Business Payment Practices Bill—",2023-07-19 19:23:04
10,Interjection,ASSISTANT SPEAKER, Just give them the numbers.,2023-07-19 19:23:04
11,ContinueSpeech,SIMON COURT," Elizabeth Kerekere, one in favour.",2023-07-19 19:23:04
0,Speech,SPEAKER, The registrar has determined that the matter under inquiry involves a question of privilege. The question therefore stands referred to the Privileges Committee. ,2023-07-18 14:03:04
1,Speech,SPEAKER," Members, I have received a letter from Karen Chhour seeking to debate under Standing Order 399 reports of mixed martial arts - style fighting at an Oranga Tamariki youth justice residence. ""An urgent debate is a way of holding the Government accountable for an action for which it is responsible.""—Speakers' Ruling 200/4. The Government's response to this matter and other reports about abuse in Oranga Tamariki facilities has been to appoint a former Police Commissioner to lead a review into youth justice facilities. That response was debated on 21 June. I'm not convinced that there have been further developments in the Government's response that warrant an additional debate at this point. The application is therefore declined.",2023-07-18 14:59:13
2,Speech,DAVID PARKER," I move, That the report of the Privileges Committee concerning the time taken by the Minister of Education to correct a misleading statement to the House be noted. ",2023-07-18 15:00:27
3,a,DAVID PARKER,"Thank you, Mr Speaker. May I begin by making a more general reference—I've been in this House now for 20 years, and in the period prior to your assuming the Chair. I've been Privileges Committee Chair for quite a while, I served on the prior committees for a while, and in my opinion there have been too few references to the Privileges Committee, so I'm pleased that you, as Speaker, are taking your responsibilities seriously to make sure that Standing Orders are adhered to. That doesn't mean to say that all references to the Privileges Committee are of the same standing, and I'm not denying the seriousness of this reference, but I do think it's good that the reputation of this Parliament is maintained—and one of the ways that we maintain the reputation of this Parliament and the confidence of people in this Parliament is by upholding Standing Orders.",2023-07-18 15:00:27
4,a,DAVID PARKER,"In respect of the reference to the committee, on 30 May, the Speaker said that a matter of privilege had been raised by him, alleging that  ""Hon Jan Tinetti deliberately misled the House by failing to correct a misleading statement at the earliest opportunity."" And the Speaker noted that, ""In a supplementary question on 22 February 2023, the Minister was asked to categorically state that she had played no part in the delay of release of school attendance information. The Minister replied that she already had, and that it was a decision for the Ministry of Education. The Minister corrected this answer on 2 May, stating 'I subsequently became aware that my office did have input into the timing of the release of the data through email correspondence with officials at the Ministry of Education.'"" Returning to the Speaker's reference: ""The Minister has stated that she was informed by her staff after question time on 22 February of her staff's correspondence with the Ministry on the release of data. She also stated that she did not know her answer needed to be corrected until she received a letter from [the Speaker] on 1 May, after which she corrected it."" The Speaker has said ""It is an important principle that the House can trust the accuracy of ministerial replies to parliamentary questions. While mistakes are sometimes made which can result in the House receiving an answer containing a misleading statement, it is vitally important that as soon as this is discovered, the Minister returns to the House to correct their answer at the earliest opportunity"", and accordingly, the Speaker said, ""I have considered the matter raised and considered its degree of importance"", and then said it was for the Privileges Committee to determine whether delaying correcting the incorrect statement amounted to a contempt and referred it to the select committee. ",2023-07-18 15:00:27
5,a,DAVID PARKER,"The select committee then heard evidence from the Minister; that evidence was in the main heard in public session. All of the oral evidence from Hon Jan Tinetti was heard, as all privileges complaints are, in open session, and the media were in attendance. We heard from the Minister for an hour. There were follow-up questions that were put by the committee, at the request of members of the committee, to clarify some of the answers that had been given by Hon Jan Tinetti. One of those issues that the committee was interested to inquire further into was whether in fact she was rushed after question time—when she had given her incorrect answer and when she first learned, after returning to her office, that her office had been engaged with the Ministry as to the date for the release of the information. What happened on the day was that, at the end of question time, the Minister was on duty, and after her period of duty, she returned to her office and she spoke with two staff briefly. She was informed that her answer was incorrect and that her office had been involved. One of the pieces of advice she had from a staff member was that that meant she had an answer that she needed to correct, and then the other person thought that because she thought the answer was correct when she gave it, she didn't need to correct the answer, because it wasn't misleading; because it was correct—as she believed the matters to be when she gave it. There was then a period of delay when the Minister did nothing to update the House as to her learning that her answer had been incorrect. She then travelled overseas for a period; there was a letter in respect of an earlier complaint by a member to the Speaker where the Speaker wrote to the Minister and said, ""You know; are you sure you don't need to correct this?"" And the Minister replied, ""No, I stand by my statement at the time."" And again, the Minister, in her evidence to us, defended that statement on the basis that she said that her understanding was that because she believed her answer to be correct at the time she gave it, it wasn't misleading because that's what she believed to be the truth when she gave it. Unfortunately for the Minister, that's actually not a correct application of Standing Orders, because it's not what we whether we believe the information to be correct, it's actually whether it was, and as soon as the Minister learned that the information was incorrect, the Minister should have immediately, at the first opportunity, returned to the House and made that correction. ",2023-07-18 15:00:27
6,a,DAVID PARKER,"The next decision that we had to take as a committee—having essentially found those facts, as I have summarised them, I hope, fairly—was ""How serious is this and is it serious enough to amount to a contempt?"" As you'll see, the report of the committee was unanimous: we are quite critical of the Minister; we have found her actions to have been negligent. The Minister could have sought advice from the Clerk of the House, from senior colleagues, and a number of ways she could have sought further information to clarify her position—which, in the view of the committee, as soon as she had that information when she returned to her office, at least gave her pause for thought to actually take an active step to resolve the issue. Instead, the Minister didn't, and as a consequence of that, the committee unanimously found that the Minister—I think we used the word ""should""—should be criticised and be subject to the criticism of the House for that error. Whilst by that time the Minister had corrected her answer in the House, she hadn't apologised to the House.",2023-07-18 15:00:27
7,a,DAVID PARKER,"Where the committee determined the issue as to whether the behaviour of the member was a contempt—as opposed to something that wasn't a contempt but still worthy of criticism from my perspective; and other members can speak for themselves—that essentially turns upon whether this was deliberate or not. And it was sloppy, it was wrong, but it wasn't deliberate, and upon that basis, looking at precedents earlier from earlier Privileges Committees, where earlier instances of the House being misled had been considered by Privileges Committees, the committee, in the end, determined that it wasn't necessary to find Hon Jan Tinetti in contempt of the House, but it was appropriate that she apologises to the House, which she has since done. ",2023-07-18 15:00:27
8,a,DAVID PARKER,"Can I thank the members of the committee for the work that they did. I thought that we handled the issue appropriately. I think it is a salutary lesson to Ministers—and to members generally—that the Standing Orders need to be adhered to if this place is to work properly, and amongst the most important of those functions is the holding of the Government to account; the Government that spends money and has authority on behalf of the people to do very serious things. One of the most important ways in which Governments are held to account is through question time, and therefore, when a question is wrong and misleads the House, it ought to be corrected at the earliest possible opportunity.",2023-07-18 15:00:27
9,Speech,SPEAKER, The question is that the motion be agreed to.,2023-07-18 15:10:55
0,Speech,JAN TINETTI," Point of order, Mr Speaker. I seek leave to make a personal statement.",2023-06-29 14:04:00
1,Interjection,SPEAKER, Leave is sought for that purpose. Is there any objection? There appears to be none.,2023-06-29 14:04:00
2,ContinueSpeech,JAN TINETTI," I have seen the report of the Privileges Committee titled Question of privilege concerning the time taken by the Minister of Education to correct a misleading statement in the House. I accept the committee's findings, and I apologise to the House.",2023-06-29 14:04:00
0,Speech,GRANT ROBERTSON," Point of order, Mr Speaker. I seek leave to move a motion without notice and with debate congratulating the New Zealand Special Olympics team on their achievements at the Special Olympics World Summer Games in Berlin, Germany.",2023-06-28 14:00:55
1,Interjection,SPEAKER, Is there any objection to that course of action being followed? There is none.,2023-06-28 14:00:55
2,ContinueSpeech,GRANT ROBERTSON," I move, That this House congratulate the New Zealand Special Olympics Team, comprising 39 athletes and 22 support staff, on their success at the Special Olympics World Summer Games in Berlin, where they won five gold medals, 17 silver medals, and 12 bronze medals.",2023-06-28 14:00:55
3,a,GRANT ROBERTSON,"On behalf of the Government, I would like to congratulate the entire team on their record achievements at the World Summer Games in Berlin. The team will be welcomed home to Aotearoa New Zealand as heroes this week, having achieved a record number of medals.",2023-06-28 14:00:55
4,a,GRANT ROBERTSON,"I'd also like to recognise that the team's achievements extend beyond the incredible medal count. Our athletes have been smashing personal bests, learning more about just what they are capable of, and developing lifelong friendships and bonds along the way. Athletes representing Aotearoa New Zealand for the games are chosen for both their sporting ability and their resilience. As the games were hosted in Berlin, attending has meant undertaking the longest journey many of our athletes have ever made, while being away from their family and loved ones for three weeks. This trip to Berlin has been truly life changing for many of these athletes and support staff. I applaud our athletes for taking on the challenge of participating in this event and for demonstrating the true sense of being a team. They have strengthened their bonds together, supported one another through the excitement of attending the event, and attaining individual success while also supporting each other through any disappointments. These athletes are truly inspirational, showing us what it means to be thrown out of your comfort zone on the other side of the world and to come out on the other side stronger together, having gained new skills and developed confidence and greater independence.",2023-06-28 14:00:55
5,a,GRANT ROBERTSON,"There are so many highlights I hesitate to mention them, but I will acknowledge a few. Footballer Cole Bailey, who scored Aotearoa New Zealand's first ever goal at a Special Olympics World Summer Games; ten-pin bowler Len Just, who was the oldest athlete in the contingent—I won't say how old—winning gold and two bronze medals; powerlifter Lynett Williams achieving her dream of winning a gold medal, then winning three more medals, two silvers and a bronze; and bocce player Aaron Campbell from the mighty Ōtaki electorate enjoying two personal bests, winning New Zealand's first Special Olympics gold medal and travelling overseas for the first time in his life.",2023-06-28 14:00:55
6,a,GRANT ROBERTSON,"I echo the words of the Head of Delegation, Rowena Massey, in saying that the rewards and skills the athletes have gained go so much further than the medal count. The lessons gained will support the athletes in their lives, supporting greater engagement in the community, employment, and education opportunities. On behalf of the Government, I say again: congratulations. We all welcome you home to Aotearoa New Zealand and encourage you to continue to strive for your best, have fun along the way. You have been an inspiration to all of us in showing what determination, resilience, and teamwork can achieve. Each of our athletes has embodied the Special Olympics oath: ""Let me win. But if I cannot win, let me be brave in the attempt.""",2023-06-28 14:00:55
7,Speech,SPEAKER, The question is that the motion be agreed to.,2023-06-28 14:04:20
0,Speech,SPEAKER," Members, I have received letters from David Seymour and Christopher Luxon seeking to debate, under Standing Order 399, the resignation of the Hon Michael Wood as a Minister. The applications were received on Wednesday, 21 June, but I indicated that I would consider them today, in light of giving priority to another urgent debate application yesterday. ",2023-06-22 15:06:38
1,a,SPEAKER,"This is a particular case of recent occurrence for which there is ministerial responsibility. The resignation of a Minister will not always lead to an urgent debate—Speakers' ruling 207/5. After weighing up the circumstances and the public interest in ministerial probity, I have decided to grant the application. David Seymour's application was received first. Therefore, I call on David Seymour or another member on his behalf to move that the House take note of a matter of urgent public importance. ",2023-06-22 15:06:38
2,Speech,KELVIN DAVIS, I seek leave to make a personal explanation to correct an answer to a supplementary question that I gave today in answer to oral question No. 12.,2023-06-22 16:35:29
3,Intervention,DEPUTY SPEAKER, Is there any objection? There is none.,2023-06-22 16:35:29
4,ContinueSpeech,KELVIN DAVIS," I advised the House that on 8 June the chief executive of Oranga Tamariki told my adviser who then told me about an incident in an Oranga Tamariki residence. This is accurate for the incident I was notified of on 16 June but not 8 June. I'd therefore like to correct the statement and advise the House that on 8 June my office and I were informed of this incident at the same time, directly by the chief executive of Oranga Tamariki in a joint phone call.",2023-06-22 16:35:29
0,Speech,SPEAKER," I have received letters from Karen Chhour and Jan Logie seeking to debate, under Standing Order 399, the Government's response to allegations of inappropriate sexual behaviour by staff towards young people in Oranga Tamariki residences. This is a particular case of recent occurrence for which there is ministerial responsibility. Children in Oranga Tamariki residences are in a vulnerable position, and the State has a duty of care towards them. A potential failure of that duty, and the Government's response to it, warrants the attention of the House.",2023-06-21 14:50:43
